loan_id,borrower_id,loan_amount,loan_term,interest_rate,monthly_payment,loan_purpose,employment_length,housing,annual_income,debt_to_income,Default
263591,545710,20000, 60 months,17.93,342.94,debt_consolidation,1 year,yes,44304,18.47,1
1613916,69664096,30000, 36 months,11.99,996.29,debt_consolidation,10+ years,yes,136000,20.63,0
818934,8965180,21500, 36 months,11.99,714.01,debt_consolidation,1 year,no,50000,29.62,0
1606612,70572960,10000, 36 months,13.67,340.18,debt_consolidation,,no,64400,16.68,0
1639932,68589517,5000, 36 months,8.49,157.82,debt_consolidation,10+ years,yes,88000,5.32,0
756884,107370446,16150, 60 months,30.74,529.88,debt_consolidation,10+ years,no,38500,33.73,1
1251123,114228157,18400, 36 months,14.08,629.59,debt_consolidation,8 years,no,40000,19.11,0
15172,35511139,17350, 60 months,12.39,389.37,debt_consolidation,9 years,yes,55000,32.4,0
1503361,91060858,35000, 36 months,12.79,1175.76,credit_card,9 years,yes,118000,26.66,0
966958,1454308,9325, 36 months,10.16,301.6,small_business,5 years,yes,43000,20.68,0
336020,65049106,21000, 36 months,9.99,677.52,debt_consolidation,10+ years,yes,84500,27.32,0
818310,8981303,10000, 36 months,11.99,332.1,debt_consolidation,3 years,no,76000,17.31,0
100105,23113505,10000, 36 months,11.67,330.57,medical,3 years,no,75000,22.34,0
169997,15369431,20000, 36 months,11.99,664.2,credit_card,9 years,yes,156000,13.28,0
727888,110241325,12000, 36 months,9.93,386.82,credit_card,10+ years,no,140000,15.93,0
1353477,78789827,20000, 60 months,15.31,479.06,debt_consolidation,10+ years,yes,54000,19,1
1373872,77380661,20000, 60 months,18.99,518.71,debt_consolidation,10+ years,no,50000,32.45,0
552803,49733708,20400, 60 months,18.55,524.15,other,4 years,no,55000,22,0
1273194,114510167,5600, 36 months,7.35,173.81,vacation,< 1 year,yes,95000,9.84,0
962999,1497655,12500, 60 months,15.31,299.42,debt_consolidation,7 years,no,37200,17.06,0
511924,54027206,16000, 36 months,19.19,588.04,house,10+ years,yes,63000,15.28,0
1515597,75992538,6000, 36 months,8.39,189.1,debt_consolidation,9 years,yes,98000,25.92,0
1642433,68447757,8000, 36 months,8.49,252.51,credit_card,5 years,no,85000,4.69,0
620058,43520182,5000, 36 months,9.99,161.32,debt_consolidation,10+ years,yes,50000,17.76,0
749655,108925166,10050, 36 months,7.07,310.64,credit_card,2 years,yes,69000,33.46,0
334807,65139958,28000, 60 months,9.99,594.78,debt_consolidation,10+ years,yes,100000,19.24,0
1063274,95896568,35000, 60 months,12.74,791.71,debt_consolidation,2 years,yes,122000,28.05,0
692245,38515393,19200, 60 months,13.66,443.38,credit_card,< 1 year,no,73000,21.44,0
1468330,92658758,24000, 60 months,19.99,635.72,debt_consolidation,10+ years,yes,67000,6.05,0
841869,7063609,25000, 36 months,10.99,818.35,debt_consolidation,8 years,yes,80000,15.68,0
1634798,66435483,8000, 36 months,9.17,255.04,credit_card,3 years,no,48000,5.69,0
365790,63426853,21125, 36 months,13.99,721.9,debt_consolidation,,yes,60000,33.98,1
1018265,100077412,15000, 36 months,13.49,508.96,debt_consolidation,10+ years,no,38000,10.8,0
1346384,79855447,6000, 36 months,14.46,206.41,debt_consolidation,3 years,no,33000,20.76,0
1014188,102115394,12000, 36 months,11.39,395.09,debt_consolidation,10+ years,yes,49000,8.4,0
850540,7255842,5800, 36 months,12.99,195.4,credit_card,5 years,no,106000,6.23,0
795911,99927033,20000, 60 months,11.44,439.25,other,7 years,yes,450000,6.2,0
1360383,78539447,15000, 36 months,10.75,489.31,vacation,10+ years,no,56000,14.36,0
1035084,98798116,40000, 60 months,13.49,920.19,debt_consolidation,3 years,yes,109000,15.14,0
1298347,112708715,40000, 60 months,14.08,932.39,major_purchase,3 years,yes,116723,15.64,0
1370298,76233498,6800, 36 months,18.25,246.69,debt_consolidation,2 years,no,39354,10.85,1
1157914,85684495,12000, 36 months,10.49,389.98,credit_card,< 1 year,no,62500,26.67,0
1413769,95109063,35700, 60 months,26.24,1073.96,debt_consolidation,10+ years,yes,71400,19.38,0
187650,13088152,7975, 36 months,15.61,278.85,debt_consolidation,9 years,yes,72520,20.5,1
1523789,75698343,35000, 36 months,18.25,1269.73,debt_consolidation,10+ years,yes,120000,27.31,1
888912,5768407,8875, 36 months,6.62,272.5,debt_consolidation,6 years,yes,102000,16.14,0
53121,30185796,35000, 36 months,14.49,1204.57,home_improvement,6 years,yes,91750,11.1,0
492650,54147356,24000, 36 months,9.17,765.1,credit_card,1 year,no,100000,15.13,0
1173636,85600454,10000, 60 months,16.99,248.48,home_improvement,10+ years,yes,100000,5.76,0
205070,12416525,24000, 36 months,12.99,808.54,debt_consolidation,5 years,yes,109000,17.89,0
315065,65877427,25000, 36 months,15.41,871.67,home_improvement,10+ years,no,89000,0.38,1
1382350,77108357,11600, 36 months,16.29,409.49,debt_consolidation,1 year,no,29000,35.84,0
493256,55199227,9525, 36 months,14.65,328.56,debt_consolidation,1 year,yes,50000,27.2,0
1432139,94384560,5500, 36 months,8.24,172.96,debt_consolidation,5 years,no,61000,12.75,0
1519770,75264204,35000, 60 months,28.34,1096.95,debt_consolidation,10+ years,yes,135410,39.37,1
225528,10599042,5600, 36 months,13.53,190.12,credit_card,5 years,no,47000,20.82,0
1244939,116799678,20000, 36 months,9.93,644.69,debt_consolidation,6 years,yes,150000,4.48,0
967441,1416195,5000, 36 months,15.31,174.09,wedding,5 years,no,23000,10.28,0
1050450,97530292,10000, 36 months,15.99,351.53,other,10+ years,yes,55000,3.56,0
1435014,94091086,12000, 60 months,25.49,355.68,other,8 years,no,64000,26.61,0
269009,469759,6000, 36 months,11.14,196.83,debt_consolidation,< 1 year,yes,19404,13.17,0
594143,46117801,20400, 60 months,14.65,481.58,debt_consolidation,10+ years,yes,54000,15.96,1
633281,42314366,4200, 36 months,13.99,143.53,debt_consolidation,,yes,19200,20.38,1
694771,38644194,25000, 60 months,10.49,537.23,debt_consolidation,10+ years,yes,125000,16.68,0
1492689,91642980,10000, 36 months,13.99,341.73,debt_consolidation,10+ years,yes,82000,19.41,0
1221723,117916980,20000, 60 months,22.91,562.78,debt_consolidation,10+ years,no,102768,24.68,0
438830,59309410,30000, 36 months,9.99,967.88,debt_consolidation,10+ years,no,140000,12.83,0
1315709,83765398,7000, 36 months,8.99,222.57,debt_consolidation,10+ years,no,46000,13.62,0
538200,51225531,10575, 36 months,16.55,374.67,debt_consolidation,2 years,no,65000,20.81,0
1327687,81516295,22000, 60 months,20.99,595.06,credit_card,2 years,yes,55000,33.43,0
1149201,85862866,12000, 36 months,10.49,389.98,debt_consolidation,10+ years,yes,60000,16.18,0
659637,40531149,35000, 36 months,11.44,1153.17,credit_card,10+ years,yes,125000,32.63,0
539310,49963544,13000, 36 months,9.99,419.42,credit_card,< 1 year,no,45000,7.87,0
1482019,92193575,15000, 36 months,14.99,519.91,debt_consolidation,4 years,yes,57000,28.06,0
399282,61439942,20000, 36 months,9.17,637.58,home_improvement,10+ years,yes,60000,18.58,1
